Number,Name,Calories,Proteins,Carbs,Fats
01130,"EGG,WHOLE,COOKED,OMELET",153,10.6,0.7,12
01131,"EGG,WHL,CKD,POACHED",147,12.5,0.8,9.9
01132,"EGG,WHL,CKD,SCRMBLD",166,11.1,2.2,12.2
01133,"EGG,WHOLE,DRIED",594,47.3,4.9,41
01134,"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",615,48.2,2.4,44
01135,"EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",351,76.9,4.2,0
01136,"EGG,WHITE,DRIED,PDR,GLUCOSE RED",376,82.4,4.5,0
01137,"EGG,YOLK,DRIED",666,34.3,3.6,55.8
01138,"EGG,DUCK,WHOLE,FRESH,RAW",185,12.8,1.5,13.8
01139,"EGG,GOOSE,WHOLE,FRESH,RAW",185,13.9,1.4,13.3
01140,"EGG,QUAIL,WHOLE,FRESH,RAW",158,13.1,0.4,11.1
01141,"EGG,TURKEY,WHL,FRSH,RAW",171,13.7,1.1,11.9
01142,"EGG SUBSTITUTE,FROZEN",160,11.3,3.2,11.1
01143,"EGG SUBSTITUTE,LIQUID",84,12,0.6,3.3
01144,"EGG SUBSTITUTE,POWDER",444,55.5,21.8,13
01145,"BUTTER,WITHOUT SALT",717,0.9,0.1,81.1
01146,"CHEESE,PARMESAN,SHREDDED",415,37.9,3.4,27.3
01147,"CHEESE,PAST PROCESS,AMERICAN,WO/DI NA PO4",375,22.1,1.6,31.3
01148,"CHEESE,PAST PROCESS,SWISS,WO/DI NA PO4",334,24.7,2.1,25
01149,"CHEESE FD,PAST PROCESS,AMERICAN,W/DI NA PO4",328,19.6,7.3,24.6
01150,"CHEESE SPRD,PAST PROCESS,AMERICAN,W/DI NA PO4",290,16.4,8.7,21.2
01151,"MILK,NONFAT,FLUID,WO/ VIT A (FAT FREE OR SKIM)",35,3.4,4.8,0.2
01152,"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",56,4,5.5,2
01153,"MILK,CND,EVAP,W/ VIT A",134,6.8,10,7.6
01154,"MILK,DRY,NONFAT,REG,W/ VIT A",362,36.2,52,0.8
01155,"MILK,DRY,NONFAT,INST,WO/ VIT A",358,35.1,52.2,0.7
01156,"CHEESE,GOAT,HARD TYPE",452,30.5,2.2,35.6
01157,"CHEESE,GOAT,SEMISOFT TYPE",364,21.6,2.5,29.8
01159,"CHEESE,GOAT,SOFT TYPE",268,18.5,0.9,21.1
01160,"EGG,YOLK,RAW,FRZ,SALTED",274,14,1.6,23
01161,"CHEESE SUB,MOZZARELLA",248,11.5,23.7,12.2
01163,CHEESE FONDUE,229,14.2,3.8,13.5
01164,"CHEESE SAU,PREP FROM RECIPE",197,10.3,5.5,14.9
01165,"CHEESE,MEXICAN,QUESO ANEJO",373,21.4,4.6,30
01166,"CHEESE,MEXICAN,QUESO ASADERO",356,22.6,2.9,28.3
01167,"CHEESE,MEXICAN,QUESO CHIHUAHUA",374,21.6,5.6,29.7
01168,"CHEESE,LOFAT,CHEDDAR OR COLBY",173,24.4,1.9,7
01169,"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",398,24.4,1.9,32.6
01171,"EGG,WHOLE,RAW,FROZEN",148,11.9,1,10.2
01172,"EGG,WHITE,RAW,FROZEN",47,9.8,1,0
01173,"EGG,WHITE,DRIED",382,81.1,7.8,0
01178,"SOUR CREAM,REDUCED FAT",181,7,7,14.1
01179,"SOUR CREAM,LIGHT",136,3.5,7.1,10.6
01180,"SOUR CREAM,FAT FREE",74,3.1,15.6,0
01184,"YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",43,3.9,7.5,0.2
01185,"PARMESAN CHS TOPPING,FAT FREE",370,40,40,5
01186,"CHEESE,CREAM,FAT FREE",96,14.4,5.8,1.4
01187,"YOGURT,CHOC,NONFAT MILK",112,3.5,23.5,0
01188,KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,276,12,9.2,21
01189,KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,215,16.3,16.2,9.5
01190,KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT,148,22.7,11.7,1
01191,KRAFT VELVEETA PAST PROCESS CHS SPRD,303,16.3,9.8,22
01192,KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,222,19.6,11.8,10.6
01193,KRAFT BREAKSTONE'S RED FAT SOUR CRM,152,4.5,6.5,12
01194,KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,91,4.7,15.1,1.3
01195,KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT),96,3.8,18.2,0.8
01196,KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT),108,3.2,21.9,0.8
01197,KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT),102,3.8,19.9,0.9
